name,x,y,direction,next1,next2,next3,next4,next5
R102,270,840,W,T115
R104,160,690,S
R105,270,710,W,T108
T114,580,830,,R160,R161,T113,T118
T115,290,840,,R102,S111,T116
T116,350,840,,T109,T115,T117
T117,350,970,,T116,U000
T118,580,970,,T114,U000
T119,840,970,,S112,U000
T201,860,90,,R253,R254
T202,300,220,,R215,R230,S201
T203,860,220,,R250,S204
T204,100,330,,R225
T205,300,330,,R214,R216
T206,760,630,,T207,T213
T207,860,630,,S208,T206
T208,290,720,,R201,R204,T209
T209,300,720,,R203,S209,S210,T208
T210,520,720,,R283,R284,S211
T211,580,720,,S211,S212,T214
T212,630,720,,R277,S212,S213
T213,760,720,,S213,T206
T214,580,770,,R281,T211
T301,290,220,,R334,R335,R336
T302,860,220,,R350,R354
T303,90,340,,R322,R323,R330
T304,290,340,,R318,R323,R332
T305,290,730,,R303,R304,R304B,S309
T306,520,730,,R303,R388,R395,T307
T307,640,730,,R381,R392,S310,T306
T308,860,730,,R370,S310
T309,520,860,,R385,R385A,R389
T310,640,860,,R381,R384,R385
T311,860,940,,R376,S311
U000,500,500,N,T117,T118,T119
